kind,method,toll,pct,value,ci_lo,ci_hi,n,mode
selfishness_gap_vs_so,mixed|d0000e0800h0200,0.28,10.796189173481778,-0.17413244706812914,-0.19142005692598044,-0.15784445842113187,24,paired
selfishness_gap,mixed|d0000e0800h0200,0.5,108.86986083175326,1.0886986083175325,1.0795543274485302,1.0983314245455125,29,paired
selfishness_gap_vs_so,mixed|d0000e0800h0200,0.5,8.867269496521187,-0.1426593366663655,-0.15660396317157635,-0.12814825152976464,29,paired
toll_gap,mixed|d0000e0800h0200,0.17,-11.441747053067896,-0.02394521084237171,-0.05248646520022637,0.002517044998719331,16,paired
toll_gap,mixed|d0000e0800h0200,0.28,-21.67783602489343,-0.045367228607212755,-0.07577286234259144,-0.016661152490380852,17,paired
toll_gap,mixed|d0000e0800h0200,0.5,-31.536439763083855,-0.06599924782835667,-0.09134280338100549,-0.04020596872612419,21,paired
toll_direct,mixed|d0000e0800h0200,0.17,-0.20378652183560653,0.0037076176018357924,-0.01117578844741678,0.02027690938839502,30,paired
toll_direct,mixed|d0000e0800h0200,0.28,-1.446366012491844,0.026314655347706297,0.009306143367315852,0.04406166687733832,27,paired
toll_direct,mixed|d0000e0800h0200,0.5,-3.7711478786811536,0.06861088814010545,0.05361278902309853,0.0854493250638776,29,paired
second_best_toll,mixed|d0000e0800h0200,0.5,-3.7711478786811536,0.06861088814010545,0.053168596366001394,0.08485219127004809,29,paired
selfishness_gap,mixed|d0000e0850h0150,0.0,113.18760273167605,1.1318760273167605,1.1198199330443368,1.144265776389404,19,paired
selfishness_gap_vs_so,mixed|d0000e0850h0150,0.0,13.214997163327656,-0.2127725786021866,-0.23189723419194935,-0.19591462044910046,19,paired
selfishness_gap,mixed|d0000e0850h0150,0.17,113.052413962081,1.13052413962081,1.1160714718979186,1.143333501134551,21,paired
selfishness_gap_vs_so,mixed|d0000e0850h0150,0.17,13.042013825804965,-0.21047064293766296,-0.23069402412514964,-0.18794628831756016,21,paired
selfishness_gap,mixed|d0000e0850h0150,0.28,111.76054566020835,1.1176054566020834,1.1079144734074733,1.1280685345725523,23,paired
selfishness_gap_vs_so,mixed|d0000e0850h0150,0.28,11.772855414042713,-0.18988516126245242,-0.2073473387866297,-0.1738514495674251,23,paired
selfishness_gap,mixed|d0000e0850h0150,0.5,110.25332428788381,1.1025332428788381,1.0919968739363006,1.1125980338203365,28,paired
selfishness_gap_vs_so,mixed|d0000e0850h0150,0.5,10.244722418945944,-0.16482021948145936,-0.18089112874407576,-0.14883296656484063,28,paired
toll_gap,mixed|d0000e0850h0150,0.17,2.347271069777233,0.005139136228547234,-0.02731434448366034,0.03561608787020291,13,paired
toll_gap,mixed|d0000e0850h0150,0.28,-13.097239052413345,-0.02867521206853581,-0.06132367593697301,0.0056781514173968655,12,paired
toll_gap,mixed|d0000e0850h0150,0.5,-23.57861047493243,-0.051623220202696274,-0.07929518046777197,-0.026903111983067794,15,paired
toll_direct,mixed|d0000e0850h0150,0.17,0.4460223161713191,-0.008157859987745176,-0.026550208439569824,0.012411465973520424,20,paired
toll_direct,mixed|d0000e0850h0150,0.28,-1.3252106538440414,0.024238435110442814,0.0021076661540154443,0.04518904246966068,25,paired
toll_direct,mixed|d0000e0850h0150,0.5,-3.5814343583633126,0.06550533233768861,0.05079132238636556,0.0821934718688249,21,paired
